index;nartist_with_flow;nartist_with_flow_listened;nmidia_regular_listened;nmidia_regular;nmidia_with_flow;nartist_regular_listened;nartist_regular;nmidia_with_flow_listened;nmidia_with_flow_listened_PROP;nmidia_regular_listened_PROP;nmidia_PROP_diff;nartist_with_flow_listened_PROP;nartist_regular_listened_PROP;nartist_PROP_diff
1;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
3;0;0;3;3;0;2;2;0;;1.0;;;1.0;
4;1;1;0;0;2;0;0;1;0.5;;;1.0;;
5;0;0;0;1;0;0;1;0;;0.0;;;0.0;
13;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
14;2;2;0;0;3;0;0;3;1.0;;;1.0;;
17;0;0;1;1;0;1;1;0;;1.0;;;1.0;
19;1;1;0;0;1;0;0;1;1.0;;;1.0;;
22;2;0;0;0;2;0;0;0;0.0;;;0.0;;
24;0;0;0;1;0;0;1;0;;0.0;;;0.0;
25;1;1;4;4;1;2;2;1;1.0;1.0;1.0;1.0;1.0;1.0
31;1;0;0;0;1;0;0;0;0.0;;;0.0;;
33;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
36;1;1;0;1;1;0;1;1;1.0;0.0;inf;1.0;0.0;inf
38;1;0;0;0;1;0;0;0;0.0;;;0.0;;
39;0;0;0;1;0;0;1;0;;0.0;;;0.0;
41;0;0;3;3;0;2;2;0;;1.0;;;1.0;
44;1;1;0;0;4;0;0;3;0.75;;;1.0;;
45;0;0;2;2;0;2;2;0;;1.0;;;1.0;
51;3;3;1;1;3;1;1;3;1.0;1.0;1.0;1.0;1.0;1.0
52;1;0;0;1;1;0;1;0;0.0;0.0;;0.0;0.0;
56;1;1;0;0;1;0;0;1;1.0;;;1.0;;
57;1;1;0;0;1;0;0;1;1.0;;;1.0;;
58;0;0;0;1;0;0;1;0;;0.0;;;0.0;
62;2;0;0;0;2;0;0;0;0.0;;;0.0;;
64;0;0;1;1;0;1;1;0;;1.0;;;1.0;
65;0;0;3;3;0;1;1;0;;1.0;;;1.0;
74;0;0;0;1;0;0;1;0;;0.0;;;0.0;
78;1;1;0;0;1;0;0;1;1.0;;;1.0;;
82;0;0;1;1;0;1;1;0;;1.0;;;1.0;
83;0;0;1;1;0;1;1;0;;1.0;;;1.0;
86;0;0;1;1;0;1;1;0;;1.0;;;1.0;
87;1;1;1;1;2;1;1;2;1.0;1.0;1.0;1.0;1.0;1.0
89;1;1;0;0;1;0;0;1;1.0;;;1.0;;
92;0;0;1;1;0;1;1;0;;1.0;;;1.0;
94;0;0;0;1;0;0;1;0;;0.0;;;0.0;
98;1;1;0;0;1;0;0;1;1.0;;;1.0;;
100;2;1;1;1;2;1;1;1;0.5;1.0;0.5;0.5;1.0;0.5
101;0;0;1;1;0;1;1;0;;1.0;;;1.0;
103;0;0;1;1;0;1;1;0;;1.0;;;1.0;
109;1;0;0;0;1;0;0;0;0.0;;;0.0;;
110;0;0;1;1;0;1;1;0;;1.0;;;1.0;
113;0;0;1;1;0;1;1;0;;1.0;;;1.0;
114;1;1;0;0;1;0;0;1;1.0;;;1.0;;
117;1;0;1;1;1;1;1;0;0.0;1.0;0.0;0.0;1.0;0.0
119;0;0;0;1;0;0;1;0;;0.0;;;0.0;
122;0;0;0;1;0;0;1;0;;0.0;;;0.0;
126;1;0;0;0;1;0;0;0;0.0;;;0.0;;
127;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
129;1;1;2;2;2;1;1;1;0.5;1.0;0.5;1.0;1.0;1.0
130;0;0;1;1;0;1;1;0;;1.0;;;1.0;
134;0;0;2;2;0;1;1;0;;1.0;;;1.0;
136;1;0;0;0;1;0;0;0;0.0;;;0.0;;
144;1;1;0;0;1;0;0;1;1.0;;;1.0;;
145;0;0;0;1;0;0;1;0;;0.0;;;0.0;
147;0;0;2;3;0;1;2;0;;0.666666666667;;;0.5;
149;1;1;0;0;2;0;0;1;0.5;;;1.0;;
150;0;0;1;1;0;1;1;0;;1.0;;;1.0;
152;0;0;0;1;0;0;1;0;;0.0;;;0.0;
153;0;0;1;1;0;1;1;0;;1.0;;;1.0;
154;0;0;6;6;0;1;1;0;;1.0;;;1.0;
159;1;1;4;44;1;1;1;1;1.0;0.0909090909091;11.0;1.0;1.0;1.0
161;1;0;1;1;1;1;1;0;0.0;1.0;0.0;0.0;1.0;0.0
162;0;0;1;1;0;1;1;0;;1.0;;;1.0;
164;1;1;0;0;1;0;0;1;1.0;;;1.0;;
166;3;2;1;1;3;1;1;2;0.666666666667;1.0;0.666666666667;0.666666666667;1.0;0.666666666667
171;1;1;0;0;1;0;0;1;1.0;;;1.0;;
175;1;0;0;0;1;0;0;0;0.0;;;0.0;;
178;0;0;0;1;0;0;1;0;;0.0;;;0.0;
179;0;0;1;2;0;1;2;0;;0.5;;;0.5;
180;0;0;0;1;0;0;1;0;;0.0;;;0.0;
181;2;2;0;1;2;0;1;2;1.0;0.0;inf;1.0;0.0;inf
191;1;1;0;0;1;0;0;1;1.0;;;1.0;;
197;1;0;0;0;1;0;0;0;0.0;;;0.0;;
198;0;0;1;12;0;1;1;0;;0.0833333333333;;;1.0;
203;1;1;0;0;2;0;0;2;1.0;;;1.0;;
209;1;1;0;1;1;0;1;1;1.0;0.0;inf;1.0;0.0;inf
211;1;1;0;0;1;0;0;1;1.0;;;1.0;;
215;1;1;0;0;1;0;0;1;1.0;;;1.0;;
216;1;0;0;0;1;0;0;0;0.0;;;0.0;;
218;1;1;0;0;2;0;0;2;1.0;;;1.0;;
223;0;0;1;1;0;1;1;0;;1.0;;;1.0;
224;1;1;0;0;2;0;0;2;1.0;;;1.0;;
236;1;1;2;3;1;1;1;1;1.0;0.666666666667;1.5;1.0;1.0;1.0
240;0;0;1;1;0;1;1;0;;1.0;;;1.0;
241;1;1;0;0;1;0;0;1;1.0;;;1.0;;
242;2;2;2;2;2;2;2;2;1.0;1.0;1.0;1.0;1.0;1.0
243;1;0;1;1;1;1;1;0;0.0;1.0;0.0;0.0;1.0;0.0
246;1;1;0;0;2;0;0;1;0.5;;;1.0;;
248;1;1;0;0;1;0;0;1;1.0;;;1.0;;
250;0;0;0;1;0;0;1;0;;0.0;;;0.0;
253;1;0;0;0;1;0;0;0;0.0;;;0.0;;
254;1;1;0;0;2;0;0;2;1.0;;;1.0;;
260;1;0;0;0;1;0;0;0;0.0;;;0.0;;
261;1;1;0;0;1;0;0;1;1.0;;;1.0;;
265;0;0;1;1;0;1;1;0;;1.0;;;1.0;
266;0;0;0;1;0;0;1;0;;0.0;;;0.0;
270;0;0;0;2;0;0;1;0;;0.0;;;0.0;
273;2;2;0;0;3;0;0;3;1.0;;;1.0;;
274;1;0;0;0;1;0;0;0;0.0;;;0.0;;
276;1;1;0;0;1;0;0;1;1.0;;;1.0;;
278;0;0;0;1;0;0;1;0;;0.0;;;0.0;
279;0;0;1;1;0;1;1;0;;1.0;;;1.0;
284;1;1;0;0;1;0;0;1;1.0;;;1.0;;
285;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
303;1;0;0;0;1;0;0;0;0.0;;;0.0;;
317;0;0;0;1;0;0;1;0;;0.0;;;0.0;
318;1;1;2;2;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
319;1;1;0;0;1;0;0;1;1.0;;;1.0;;
325;0;0;1;1;0;1;1;0;;1.0;;;1.0;
326;1;1;0;0;1;0;0;1;1.0;;;1.0;;
327;1;0;0;0;1;0;0;0;0.0;;;0.0;;
329;0;0;0;1;0;0;1;0;;0.0;;;0.0;
332;0;0;1;1;0;1;1;0;;1.0;;;1.0;
336;0;0;3;3;0;3;3;0;;1.0;;;1.0;
341;0;0;4;4;0;3;3;0;;1.0;;;1.0;
343;0;0;1;1;0;1;1;0;;1.0;;;1.0;
348;0;0;12;12;0;1;1;0;;1.0;;;1.0;
349;1;1;0;0;1;0;0;1;1.0;;;1.0;;
350;1;0;0;0;1;0;0;0;0.0;;;0.0;;
351;0;0;1;1;0;1;1;0;;1.0;;;1.0;
359;1;1;1;3;2;1;1;1;0.5;0.333333333333;1.5;1.0;1.0;1.0
362;0;0;1;1;0;1;1;0;;1.0;;;1.0;
369;0;0;1;1;0;1;1;0;;1.0;;;1.0;
378;0;0;1;1;0;1;1;0;;1.0;;;1.0;
383;3;3;0;0;4;0;0;3;0.75;;;1.0;;
386;1;1;5;5;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
387;1;0;0;0;1;0;0;0;0.0;;;0.0;;
393;1;0;0;0;1;0;0;0;0.0;;;0.0;;
395;1;1;0;0;1;0;0;1;1.0;;;1.0;;
400;0;0;1;1;0;1;1;0;;1.0;;;1.0;
402;0;0;0;1;0;0;1;0;;0.0;;;0.0;
405;0;0;0;3;0;0;1;0;;0.0;;;0.0;
414;1;0;0;0;1;0;0;0;0.0;;;0.0;;
421;1;1;0;0;2;0;0;2;1.0;;;1.0;;
423;0;0;6;6;0;1;1;0;;1.0;;;1.0;
429;0;0;0;1;0;0;1;0;;0.0;;;0.0;
433;1;1;1;1;2;1;1;2;1.0;1.0;1.0;1.0;1.0;1.0
440;0;0;1;2;0;1;1;0;;0.5;;;1.0;
441;0;0;2;2;0;1;1;0;;1.0;;;1.0;
445;2;2;0;0;2;0;0;2;1.0;;;1.0;;
448;2;0;0;0;2;0;0;0;0.0;;;0.0;;
452;0;0;0;1;0;0;1;0;;0.0;;;0.0;
457;0;0;2;3;0;1;1;0;;0.666666666667;;;1.0;
460;1;1;0;0;1;0;0;1;1.0;;;1.0;;
462;0;0;0;1;0;0;1;0;;0.0;;;0.0;
463;0;0;1;1;0;1;1;0;;1.0;;;1.0;
469;1;0;1;1;1;1;1;0;0.0;1.0;0.0;0.0;1.0;0.0
472;1;1;1;3;1;1;2;1;1.0;0.333333333333;3.0;1.0;0.5;2.0
473;0;0;1;1;0;1;1;0;;1.0;;;1.0;
475;1;1;0;0;1;0;0;1;1.0;;;1.0;;
478;0;0;2;2;0;2;2;0;;1.0;;;1.0;
482;1;0;0;2;1;0;2;0;0.0;0.0;;0.0;0.0;
485;0;0;3;3;0;1;1;0;;1.0;;;1.0;
487;0;0;1;1;0;1;1;0;;1.0;;;1.0;
488;2;0;0;0;2;0;0;0;0.0;;;0.0;;
490;1;1;0;0;1;0;0;1;1.0;;;1.0;;
493;1;1;0;0;1;0;0;1;1.0;;;1.0;;
506;0;0;1;1;0;1;1;0;;1.0;;;1.0;
509;1;1;1;1;1;1;1;1;1.0;1.0;1.0;1.0;1.0;1.0
512;1;1;0;0;1;0;0;1;1.0;;;1.0;;
516;0;0;2;2;0;1;1;0;;1.0;;;1.0;
518;1;1;0;0;2;0;0;2;1.0;;;1.0;;
