user_id;with_flow;regular;with_flow_listened;regular_listened
0;848;1710;833;1695
1;1158;1772;1151;1745
2;1747;909;1712;812
3;147;2328;144;2142
4;1812;275;360;156
5;905;1765;898;1750
6;550;262;550;262
7;0;433;0;196
8;665;1505;656;1480
9;525;1416;189;1004
10;1124;598;594;230
11;1104;536;546;312
12;36;832;15;804
13;760;672;756;670
14;1281;414;1267;392
15;1170;1526;1168;1515
16;474;661;191;509
17;403;1574;388;1564
18;330;953;85;641
19;839;1900;791;1633
20;91;499;87;428
21;557;1602;557;1600
22;1030;404;473;303
23;898;210;895;206
24;106;762;106;339
25;620;1723;319;703
26;164;831;159;810
27;230;539;227;535
28;625;1310;594;1230
29;994;329;992;327
30;199;610;190;564
31;892;645;262;315
32;931;8;368;4
33;1272;492;1240;475
34;727;617;578;469
35;956;1684;889;1590
36;640;751;620;740
37;704;930;276;685
38;993;664;307;316
39;1176;606;301;110
40;10;249;8;151
41;743;1744;700;1668
42;509;822;471;747
43;881;478;357;148
44;1141;129;421;107
45;92;908;55;733
46;910;79;130;63
47;872;1106;754;1041
48;570;809;495;798
49;576;547;448;278
50;958;326;694;266
51;1244;755;1238;750
52;1003;410;333;223
53;59;317;13;250
54;1047;216;961;200
55;983;465;847;393
56;1063;731;753;654
57;929;98;929;98
58;952;370;244;154
59;639;889;633;879
60;973;841;909;788
61;1345;345;129;34
62;1346;519;871;365
63;804;744;804;744
64;475;1235;447;1146
65;432;1301;420;1198
66;0;874;0;676
67;614;925;606;912
68;937;658;750;581
69;638;1024;613;995
70;1113;494;1032;474
71;522;333;256;241
72;1246;245;1199;237
73;1097;163;551;141
74;783;503;340;207
75;722;1095;712;1067
76;652;353;637;334
77;959;1040;913;975
78;681;1041;612;987
79;461;405;459;403
80;420;1204;407;1180
81;161;464;157;448
82;449;920;441;910
83;32;1360;15;1341
84;710;133;696;59
85;126;673;54;538
86;767;493;734;472
87;762;291;325;159
88;910;188;242;105
89;867;743;606;571
90;485;505;315;322
91;1077;733;1064;715
92;590;459;578;447
93;3;429;0;286
94;355;1475;311;1138
95;149;614;108;578
96;646;786;307;601
97;399;560;263;362
98;888;1125;879;1098
99;17;1115;12;1067
100;612;805;129;243
101;24;521;24;512
102;2;620;0;610
103;273;1305;268;1232
104;1134;188;498;125
105;461;1109;417;934
106;202;809;198;769
107;559;207;422;205
108;575;438;235;165
109;913;382;400;261
110;162;895;157;799
111;5;1296;5;1244
112;540;562;498;532
113;103;905;65;605
114;1025;156;263;50
115;784;1029;488;836
116;78;303;77;278
117;728;459;342;312
118;465;637;423;598
119;470;460;261;365
120;340;986;244;903
121;602;1149;550;1015
122;622;500;587;409
123;892;197;325;149
124;159;503;127;451
125;14;1095;5;565
126;491;170;333;109
127;809;244;808;243
