,user_id_id,prediction
140,19802.0,0.292857142857
266,19768.0,0.7
321,19757.0,0.2
326,19714.0,0.1
363,19830.0,0.0166666666667
437,19734.0,0.5
466,19843.0,0.9
532,19878.0,0.29
607,19696.0,0.6
647,19704.0,0.6
675,19755.0,0.6
698,19829.0,0.9
732,19707.0,0.4
805,19732.0,0.7
806,19803.0,0.7
937,19698.0,0.6
1007,19667.0,0.6
1019,19780.0,0.933333333333
1047,19747.0,0.725
1335,19823.0,0.725
1400,19709.0,0.7
1410,19675.0,0.4
1660,19853.0,0.6
1743,19724.0,0.8
1825,19858.0,0.7
2036,19827.0,0.6
2090,19673.0,0.6
2226,19870.0,0.6
2371,19873.0,0.1
2480,19766.0,1.0
2514,19739.0,0.433333333333
2690,19788.0,0.3
2855,19898.0,0.525
2931,19833.0,0.9
2982,19751.0,0.0
2992,19679.0,0.8
3022,19900.0,0.7
3030,19781.0,0.5
3062,19787.0,1.0
3169,19722.0,0.8
3225,19877.0,0.5
3671,19804.0,0.695
3717,19852.0,0.166666666667
3887,19851.0,0.4
4005,19879.0,0.43
4066,19765.0,0.3
4089,19745.0,0.6
4102,19713.0,0.8
4232,19736.0,0.9
4327,19815.0,0.133333333333
4428,19861.0,0.833333333333
4640,19910.0,0.3
4992,19916.0,0.2
5079,19779.0,1.0
5092,19785.0,0.0
5160,19824.0,0.8
5222,19840.0,1.0
5262,19688.0,0.425
5368,19890.0,0.6
5401,19749.0,0.7
5449,19676.0,0.6
5517,19908.0,0.05
5588,19733.0,0.9
5597,19706.0,0.1
5682,19689.0,0.5
5693,19832.0,0.5
5893,19725.0,0.0285714285714
5939,19694.0,0.6
5966,19681.0,0.3
6166,19697.0,0.5
6202,19790.0,0.3
6292,19809.0,0.25
6298,19786.0,0.5
6324,19839.0,0.15
6351,19695.0,0.6
6360,19874.0,0.6
6467,19844.0,0.6
6502,19753.0,0.7
6517,19884.0,0.8
6533,19899.0,0.8
6621,19789.0,0.566666666667
6670,19701.0,0.566666666667
6705,19705.0,0.9
6913,19917.0,0.6
6973,19805.0,0.4
7065,19865.0,0.5
7078,19819.0,0.7
7094,19862.0,0.6
7106,19863.0,0.133333333333
7119,19730.0,0.722698412698
7149,19743.0,0.4
7325,19801.0,0.6
7363,19686.0,0.7
7458,19726.0,0.3
7463,19821.0,0.5
7465,19891.0,0.655952380952
7479,19794.0,0.8
7534,19677.0,0.7
7567,19691.0,0.2
7600,19795.0,0.8
7852,19850.0,0.4
8121,19702.0,0.4
8189,19845.0,0.3
8220,19711.0,0.6
8309,19811.0,0.3
8311,19672.0,0.2
8313,19837.0,0.575
8536,19883.0,0.5
8537,19888.0,0.65
8613,19912.0,0.0
8767,19867.0,0.8
8781,19813.0,0.65
9127,19792.0,0.8
9138,19808.0,0.5
9147,19777.0,0.9
9285,19892.0,1.0
9450,19854.0,0.9
9636,19822.0,0.5
9737,19699.0,0.2
10167,19834.0,0.3
10289,19770.0,0.4
10301,19763.0,0.6
10347,19906.0,0.6
10429,19897.0,0.2
10471,19700.0,0.2
10501,19668.0,0.86
10706,19875.0,0.0
10751,19720.0,0.1
10752,19741.0,0.65
10835,19680.0,0.8
10856,19710.0,0.4
10897,19683.0,0.65
11034,19868.0,0.448333333333
11183,19740.0,0.5
11189,19857.0,0.483333333333
11221,19762.0,0.55
11243,19895.0,0.4
11358,19774.0,0.3
11388,19849.0,0.2
11438,19771.0,0.3
11453,19836.0,0.3
11602,19846.0,0.43880952381
11652,19682.0,0.2
11765,19687.0,0.9
11789,19760.0,0.4
11907,19810.0,0.625
11927,19885.0,0.2
11991,19806.0,0.4
12011,19669.0,0.9
12089,19876.0,0.7
12119,19901.0,0.158333333333
12171,19670.0,0.5
12179,19727.0,0.5
12307,19907.0,0.9
12408,19860.0,0.1
12415,19742.0,0.0
12583,19886.0,0.5
12623,19685.0,1.0
12774,19767.0,0.444166666667
12777,19782.0,0.61
12908,19864.0,0.2
12959,19893.0,0.7
12974,19718.0,0.5
12998,19717.0,0.7
13016,19807.0,0.4
13164,19756.0,0.0
13186,19887.0,0.0824675324675
13298,19748.0,0.075
13332,19712.0,0.1
13382,19841.0,0.4
13393,19835.0,1.0
13471,19820.0,0.3
13547,19752.0,0.26
13645,19761.0,0.6
13740,19715.0,0.2
13786,19904.0,0.2
13878,19855.0,0.2
13893,19684.0,0.5
13909,19866.0,0.9
14031,19847.0,0.7
14198,19737.0,0.3
14338,19769.0,0.46
14387,19911.0,0.3
14460,19708.0,0.7
14489,19778.0,0.1
14564,19871.0,0.2
14681,19738.0,0.6
14757,19914.0,0.95
14815,19797.0,0.84
14928,19776.0,0.9
14942,19671.0,0.5
14981,19869.0,1.0
15042,19905.0,0.4
15084,19798.0,0.6
15243,19731.0,0.8
15485,19775.0,0.425
15505,19909.0,0.8
15538,19826.0,0.2
15627,19721.0,0.85
15654,19750.0,0.666666666667
15687,19881.0,0.1
15785,19800.0,0.433333333333
15892,19799.0,0.2
15979,19842.0,0.3
16151,19817.0,0.0666666666667
16194,19838.0,0.291666666667
16212,19848.0,0.35
16213,19728.0,0.1
16218,19882.0,0.25
16220,19913.0,0.3
16361,19758.0,0.225
16362,19692.0,0.3
16388,19773.0,0.6
16444,19812.0,0.8
16527,19744.0,0.7
16548,19902.0,0.3
16615,19896.0,0.52
16616,19859.0,0.65
16636,19678.0,0.7
16640,19764.0,0.484166666667
16721,19793.0,0.6
16969,19915.0,0.7
17047,19666.0,0.7
17348,19693.0,0.9
17359,19828.0,0.1
17512,19783.0,0.8
17614,19872.0,0.9
17741,19754.0,0.4
17800,19825.0,0.7
17932,19894.0,0.8
17935,19791.0,0.4
17939,19723.0,0.45
18127,19690.0,0.378095238095
18285,19889.0,0.3
18287,19746.0,0.4
18289,19719.0,0.7
18315,19814.0,0.533333333333
18316,19716.0,0.733333333333
18426,19818.0,0.466666666667
18516,19759.0,0.7
18648,19674.0,0.633333333333
18660,19772.0,0.4625
19033,19816.0,0.9
19199,19735.0,0.466666666667
19203,19831.0,0.9
19229,19784.0,0.6375
19240,19703.0,0.166666666667
19312,19903.0,0.8
19589,19880.0,0.3
19599,19729.0,1.0
19615,19796.0,0.6
19845,19856.0,0.610833333333
