,prediction,user_id_id
70,0.7,19579
134,0.25,19409
136,0.6,19590
140,0.833333333333,19802
146,0.5,19428
168,0.9,19632
266,0.5,19768
308,0.5,19393
321,0.6,19757
326,0.1,19714
363,0.2,19830
423,0.1,19325
431,0.7,19479
437,0.7,19734
451,0.6,19456
466,0.8,19843
475,0.5,19657
504,0.6,19348
532,0.6,19878
548,0.766666666667,19633
552,0.7,19594
607,0.9,19696
614,0.7,19333
647,0.5,19704
675,0.8,19755
698,0.4,19829
700,0.9,19656
732,0.5,19707
733,0.6,19305
780,0.3,19555
785,0.4,19403
805,0.8,19732
806,0.7,19803
824,0.7,19602
847,0.7,19301
862,0.2,19513
937,0.8,19698
981,0.3,19440
1007,0.8,19667
1010,0.6,19649
1019,0.4,19780
1034,0.3,19659
1047,0.5,19747
1192,0.3,19438
1212,0.8,19583
1274,0.4,19310
1309,1.0,19533
1319,0.1,19343
1323,0.1,19337
1335,0.2,19823
1400,0.5,19709
1410,0.6,19675
1415,0.7,19395
1614,0.3,19576
1660,0.4,19853
1743,0.3,19724
1762,0.7,19627
1766,0.6,19548
1784,0.5,19518
1788,0.7,19582
1825,0.8,19858
1881,0.7,19542
1929,0.6,19272
1931,0.5,19601
2002,0.25,19511
2036,0.35,19827
2041,0.3,19418
2064,0.2,19271
2071,0.8,19444
2090,0.533333333333,19673
2093,0.8,19467
2095,0.95,19457
2096,0.4,19387
2205,0.7,19414
2226,0.4,19870
2232,0.7,19490
2337,0.9,19468
2371,0.6,19873
2411,0.8,19346
2446,0.1,19460
2480,0.9,19766
2506,0.4,19382
2514,0.5,19739
2549,0.3,19611
2642,0.3,19475
2690,0.65,19788
2855,0.6,19898
2872,0.42,19569
2899,0.6,19294
2911,0.6,19283
2931,0.7,19833
2978,0.9,19320
2982,0.3,19751
2992,0.3,19679
2997,0.4,19329
3017,0.5,19287
3022,0.7,19900
3030,0.55,19781
3039,0.8,19442
3062,0.8,19787
3088,0.8,19473
3169,0.8,19722
3204,0.7,19266
3225,1.0,19877
3263,0.8,19560
3296,0.4,19652
3312,0.8,19454
3376,0.6,19655
3389,0.6,19559
3605,0.4,19354
3671,0.55,19804
3672,0.9,19648
3689,0.7,19317
3717,0.45,19852
3734,0.0,19596
3742,0.7,19491
3754,0.4,19388
3780,0.5,19466
3804,1.0,19415
3873,0.5,19367
3882,0.5,19472
3883,0.9,19420
3885,0.3,19292
3887,0.6,19851
3892,0.7,19521
4005,0.7,19879
4066,0.25,19765
