,prediction,user_id_id
2,0.5,8716.0
4,0.9,7600.0
5,0.2,1178.0
7,0.8,9863.0
8,0.4,15455.0
9,1.0,12114.0
10,0.2,4624.0
11,1.0,4148.0
12,0.6,838.0
13,1.0,1102.0
15,1.0,13411.0
18,0.8,2615.0
21,0.4,7623.0
22,0.2,3451.0
23,0.8,7557.0
26,0.9,7460.0
27,1.0,2059.0
28,1.0,6194.0
30,0.1,7165.0
31,1.0,6113.0
32,1.0,5233.0
33,0.5,16627.0
34,1.0,3830.0
35,0.8,7142.0
36,0.8,6093.0
37,0.7,8018.0
40,0.8,7710.0
41,0.8,1041.0
42,1.0,885.0
43,0.2,6407.0
47,1.0,8747.0
48,1.0,3477.0
49,0.1,1766.0
50,1.0,5095.0
51,0.6,6352.0
53,0.5,1638.0
54,0.5,11600.0
55,1.0,10350.0
58,0.5,7639.0
59,0.8,9968.0
67,0.5,6805.0
69,0.9,8283.0
72,0.7,2274.0
73,1.0,6729.0
74,0.4,4977.0
75,0.9,1690.0
76,0.1,12317.0
77,0.2,2973.0
78,0.6,7168.0
79,0.0,12929.0
87,0.6,8000.0
89,0.6,3430.0
90,0.9,1314.0
91,0.3,3524.0
93,0.0,3688.0
94,0.6,7746.0
97,0.2,4704.0
102,0.7,5583.0
106,0.2,10186.0
110,0.9,10838.0
115,0.3,6848.0
125,0.8,6206.0
126,0.5,11747.0
131,0.6,11997.0
135,0.9,823.0
137,0.8,11755.0
156,0.6,9782.0
157,1.0,4346.0
158,0.3,13322.0
159,0.7,11098.0
160,0.9,3756.0
163,0.2,13960.0
169,0.7,4162.0
170,0.7,1753.0
181,0.7,8395.0
182,0.9,7366.0
183,1.0,11065.0
186,0.1,2692.0
189,1.0,6759.0
190,0.7,6948.0
192,0.4,7028.0
194,0.8,4378.0
199,1.0,3845.0
200,1.0,6817.0
201,0.8,367.0
204,0.9,8798.0
205,0.7,5496.0
206,0.6,611.0
208,0.9,182.0
210,1.0,698.0
214,0.4,3882.0
216,0.5,12646.0
217,0.9,8270.0
218,0.4,5732.0
219,0.5,5052.0
221,0.0,15430.0
222,1.0,846.0
225,0.9,1811.0
227,0.8,11712.0
228,0.9,1785.0
229,0.4,8264.0
230,0.9,8831.0
231,0.9,11032.0
232,0.3,3146.0
235,0.25,3134.0
236,0.6,3822.0
239,0.2,3358.0
242,1.0,11298.0
246,0.0,9210.0
247,0.7,5338.0
249,0.7,4765.0
252,0.6,8179.0
253,1.0,3986.0
263,0.1,5592.0
264,0.5,435.0
267,0.1,8025.0
270,0.8,181.0
271,0.4,1632.0
272,0.6,12632.0
274,0.9,14055.0
280,0.9,543.0
282,1.0,9989.0
288,0.9,5356.0
290,0.8,4226.0
295,1.0,6570.0
299,0.1,2757.0
301,0.6,2294.0
302,1.0,6052.0
303,0.9,614.0
304,0.8,3143.0
306,0.7,8153.0
309,0.1,14722.0
310,1.0,2856.0
311,0.7,10782.0
312,0.7,4893.0
314,1.0,11471.0
315,0.0,11609.0
319,1.0,6532.0
328,0.6,8924.0
332,0.0,3517.0
333,1.0,3223.0
339,0.0,11235.0
340,0.4,11210.0
341,1.0,6242.0
344,0.9,6998.0
345,0.7,9799.0
346,0.4,3892.0
349,0.2,3398.0
352,0.6,3668.0
353,1.0,3180.0
356,0.9,3880.0
357,1.0,2292.0
358,0.9,6765.0
359,0.9,6872.0
361,0.7,3457.0
364,0.1,14751.0
367,0.7,9402.0
374,0.6,12141.0
375,0.8,11325.0
379,1.0,11697.0
387,0.8,4416.0
388,0.0,7464.0
389,1.0,5456.0
