index;nartist_with_flow;nartist_with_flow_listened;nmidia_regular_listened;nmidia_regular;nmidia_with_flow;nmidia_max_repet;nartist_regular_listened;nartist_regular;nmidia_with_flow_listened
1;1;1;1;1;1;2;1;1;1
3;0;0;3;3;0;2;2;2;0
4;1;1;0;0;2;2;0;0;1
5;0;0;0;1;0;2;0;1;0
13;1;1;1;1;1;2;1;1;1
14;2;2;0;0;3;2;0;0;3
17;0;0;1;1;0;2;1;1;0
19;1;1;0;0;1;2;0;0;1
22;2;0;0;0;2;2;0;0;0
24;0;0;0;1;0;2;0;1;0
25;1;1;4;4;1;2;2;2;1
31;1;0;0;0;1;2;0;0;0
33;1;1;1;1;1;2;1;1;1
36;1;1;0;1;1;2;0;1;1
38;1;0;0;0;1;2;0;0;0
39;0;0;0;1;0;2;0;1;0
41;0;0;3;3;0;2;2;2;0
44;1;1;0;0;4;2;0;0;3
45;0;0;2;2;0;2;2;2;0
51;3;3;1;1;3;2;1;1;3
52;1;0;0;1;1;2;0;1;0
56;1;1;0;0;1;2;0;0;1
57;1;1;0;0;1;2;0;0;1
58;0;0;0;1;0;2;0;1;0
62;2;0;0;0;2;2;0;0;0
64;0;0;1;1;0;2;1;1;0
65;0;0;3;3;0;2;1;1;0
74;0;0;0;1;0;2;0;1;0
78;1;1;0;0;1;2;0;0;1
82;0;0;1;1;0;2;1;1;0
83;0;0;1;1;0;2;1;1;0
86;0;0;1;1;0;2;1;1;0
87;1;1;1;1;2;2;1;1;2
89;1;1;0;0;1;2;0;0;1
92;0;0;1;1;0;2;1;1;0
94;0;0;0;1;0;2;0;1;0
98;1;1;0;0;1;2;0;0;1
100;2;1;1;1;2;2;1;1;1
101;0;0;1;1;0;2;1;1;0
103;0;0;1;1;0;2;1;1;0
109;1;0;0;0;1;2;0;0;0
110;0;0;1;1;0;2;1;1;0
113;0;0;1;1;0;2;1;1;0
114;1;1;0;0;1;2;0;0;1
117;1;0;1;1;1;2;1;1;0
119;0;0;0;1;0;2;0;1;0
122;0;0;0;1;0;2;0;1;0
126;1;0;0;0;1;2;0;0;0
127;1;1;1;1;1;2;1;1;1
129;1;1;2;2;2;2;1;1;1
130;0;0;1;1;0;2;1;1;0
134;0;0;2;2;0;2;1;1;0
136;1;0;0;0;1;2;0;0;0
144;1;1;0;0;1;2;0;0;1
145;0;0;0;1;0;2;0;1;0
147;0;0;2;3;0;2;1;2;0
149;1;1;0;0;2;2;0;0;1
150;0;0;1;1;0;2;1;1;0
152;0;0;0;1;0;2;0;1;0
153;0;0;1;1;0;2;1;1;0
154;0;0;6;6;0;2;1;1;0
159;1;1;4;44;1;2;1;1;1
161;1;0;1;1;1;2;1;1;0
162;0;0;1;1;0;2;1;1;0
164;1;1;0;0;1;2;0;0;1
166;3;2;1;1;3;2;1;1;2
171;1;1;0;0;1;2;0;0;1
175;1;0;0;0;1;2;0;0;0
178;0;0;0;1;0;2;0;1;0
179;0;0;1;2;0;2;1;2;0
180;0;0;0;1;0;2;0;1;0
181;2;2;0;1;2;2;0;1;2
191;1;1;0;0;1;2;0;0;1
197;1;0;0;0;1;2;0;0;0
198;0;0;1;12;0;2;1;1;0
203;1;1;0;0;2;2;0;0;2
209;1;1;0;1;1;2;0;1;1
211;1;1;0;0;1;2;0;0;1
215;1;1;0;0;1;2;0;0;1
216;1;0;0;0;1;2;0;0;0
218;1;1;0;0;2;2;0;0;2
223;0;0;1;1;0;2;1;1;0
224;1;1;0;0;2;2;0;0;2
236;1;1;2;3;1;2;1;1;1
240;0;0;1;1;0;2;1;1;0
241;1;1;0;0;1;2;0;0;1
242;2;2;2;2;2;2;2;2;2
243;1;0;1;1;1;2;1;1;0
246;1;1;0;0;2;2;0;0;1
248;1;1;0;0;1;2;0;0;1
